client_id,segment,annual_demand_tons,priority,shipment_count,shipped_weight_kg,total_transport_cost_eur,avg_distance_km,avg_transit_hours,total_co2_kg,cluster,cluster_profile,recommendation,cost_score,co2_score,distance_score,demand_score,shipment_score,transit_time_score,cluster_score,priority_score,priority_rank,priority_level,recommended_action,cost_reduction_pct,distance_reduction_pct,co2_reduction_pct,optimized_cost_eur,optimized_distance_km,optimized_co2_kg
CLIENT039,Standard,473.06,2,12,37848.0,274157.27,4228.988333333334,87.77166666666666,205589.85,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.9578211133591048,0.9571071296533896,0.2559942397757727,0.9426371030033168,0.5294117647058822,0.245018937237003,1.0,80.2261085634296,1,Very High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,246741.54300000003,3890.669266666667,189142.662
CLIENT023,Industrial,484.44,1,13,41291.0,286224.11,2062.433076923077,26.80076923076923,214798.29,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",1.0,1.0,0.0885844193782512,0.9684901631150892,0.588235294117647,0.0313652129436761,1.0,79.11167045713128,2,High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,257601.699,1897.4384307692308,197614.42680000002
CLIENT033,Industrial,432.92,1,18,92359.0,229697.7,3347.6077777777778,48.04444444444445,176057.52,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.8024154592580355,0.8195456749744962,0.187889925301975,0.851447135262847,0.8823529411764706,0.105807127331626,1.0,72.7249205556394,3,High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,206727.93000000002,3079.7991555555554,161972.9184
CLIENT080,Standard,307.53,1,8,102573.0,253972.6,4565.785,77.94125,186920.69,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.8872668582422822,0.8701462699029734,0.2820185330913149,0.5665863964741695,0.2941176470588235,0.2105712708827935,1.0,72.00418340493604,4,High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,228575.34,4200.5222,171967.03480000002
CLIENT062,Standard,245.48,1,19,70160.0,144232.39,10479.721578947368,189.0315789473684,112455.79,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5036767984140222,0.5232891148285742,0.7389886738687612,0.4256213367258848,0.9411764705882352,0.5998531005873671,1.0,66.10389358809033,5,High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,129809.15100000001,9641.343852631579,103459.3268
CLIENT097,Premium,195.15,2,9,54887.0,157420.13,10309.547777777778,114.53555555555556,126970.87,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5497737210971438,0.5909002894152225,0.725839336732829,0.3112817483756644,0.3529411764705882,0.338804739614208,1.0,63.02148593090611,6,High,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,141678.117,9484.783955555557,116813.2004
CLIENT005,Standard,414.28,2,11,27223.0,143364.29,3866.331818181818,51.75727272727273,107186.91,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5006424090052821,0.4987466964915001,0.2279717548251235,0.80910082239084,0.4705882352941177,0.1188175900875968,1.0,56.94860782815589,7,Medium,"Optimize warehouse assignment, consolidate shipments and reduce costs.",10,8,8,129027.861,3557.0252727272727,98611.9572
CLIENT035,Standard,403.4,2,10,41595.0,118792.94,9290.483,151.354,92139.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.4147547875348919,0.4286541612224405,0.6470961563239962,0.784383661229497,0.411764705882353,0.4678236340221991,0.8,56.89017356949878,8,Medium,Prioritize the nearest warehouse and optimize transportation routes.,5,12,10,112853.29299999999,8175.62504,82925.208
CLIENT022,Standard,498.31,2,6,11535.0,79059.57,12068.195,250.7783333333333,58875.45,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.2758692707723634,0.2737121423177802,0.861730085304197,1.0,0.1764705882352941,0.8162255765125699,0.8,56.26040671896697,9,Medium,Prioritize the nearest warehouse and optimize transportation routes.,5,12,10,75106.59150000001,10620.0116,52987.905
CLIENT089,Standard,429.9,2,14,98623.0,69267.56,7922.828571428571,147.62928571428571,61459.59,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.2416419105209212,0.2857490543221468,0.5414174381950262,0.8445863056022536,0.6470588235294117,0.454771520431316,0.8,49.83230519821754,10,Medium,Prioritize the nearest warehouse and optimize transportation routes.,5,12,10,65804.182,6972.089142857143,55313.631
