client_id,segment,annual_demand_tons,priority,shipment_count,shipped_weight_kg,total_transport_cost_eur,avg_distance_km,avg_transit_hours,total_co2_kg,cluster,cluster_profile,recommendation,cost_score,co2_score,distance_score,demand_score,shipment_score,transit_time_score,cluster_score,priority_score,priority_rank,priority_level,recommended_action
CLIENT039,Standard,473.06,2,12,37848.0,274157.27,4228.988333333334,87.77166666666666,205589.85,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.9578211133591049,0.9571071296533896,0.2559942397757727,0.9426371030033168,0.5294117647058822,0.24501893723700308,1.0,80.2261085634296,1,Very High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT023,Industrial,484.44,1,13,41291.0,286224.11,2062.433076923077,26.80076923076923,214798.29,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",1.0,0.9999999999999999,0.08858441937825126,0.9684901631150892,0.588235294117647,0.03136521294367618,1.0,79.11167045713128,2,High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT033,Industrial,432.92,1,18,92359.0,229697.7,3347.6077777777778,48.044444444444444,176057.52,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.8024154592580355,0.8195456749744962,0.18788992530197507,0.851447135262847,0.8823529411764706,0.10580712733162602,1.0,72.7249205556394,3,High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT080,Standard,307.53,1,8,102573.0,253972.6,4565.785,77.94125,186920.69,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.8872668582422822,0.8701462699029734,0.28201853309131497,0.5665863964741695,0.29411764705882354,0.21057127088279354,1.0,72.00418340493604,4,High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT062,Standard,245.48,1,19,70160.0,144232.39,10479.721578947368,189.03157894736842,112455.79,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5036767984140222,0.5232891148285742,0.7389886738687612,0.42562133672588487,0.9411764705882353,0.5998531005873671,1.0,66.10389358809033,5,High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT097,Premium,195.15,2,9,54887.0,157420.13,10309.547777777778,114.53555555555556,126970.87,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5497737210971438,0.5909002894152225,0.725839336732829,0.31128174837566447,0.35294117647058826,0.338804739614208,1.0,63.02148593090611,6,High,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT005,Standard,414.28,2,11,27223.0,143364.29,3866.331818181818,51.75727272727273,107186.91,2,High-activity customers / high costs,"Prioritize warehouse assignment optimization, shipment consolidation and the identification of cost-efficient routes.",0.5006424090052821,0.4987466964915001,0.2279717548251235,0.80910082239084,0.4705882352941177,0.11881759008759683,1.0,56.94860782815589,7,Medium,"Optimize warehouse assignment, consolidate shipments and reduce costs."
CLIENT035,Standard,403.4,2,10,41595.0,118792.94,9290.483,151.354,92139.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.4147547875348919,0.4286541612224405,0.6470961563239962,0.784383661229497,0.411764705882353,0.4678236340221991,0.8,56.89017356949878,8,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT022,Standard,498.31,2,6,11535.0,79059.57,12068.195,250.77833333333334,58875.45,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.27586927077236345,0.27371214231778024,0.861730085304197,0.9999999999999999,0.1764705882352941,0.8162255765125699,0.8,56.26040671896697,9,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT089,Standard,429.9,2,14,98623.0,69267.56,7922.828571428571,147.62928571428571,61459.59,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.24164191052092127,0.2857490543221468,0.5414174381950262,0.8445863056022536,0.6470588235294117,0.454771520431316,0.8,49.83230519821754,10,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT096,Premium,182.88,2,13,74175.0,91699.1,10050.664615384616,145.50538461538463,76797.79,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.3200499595909933,0.3571943180096311,0.7058354233353047,0.2834067881321277,0.588235294117647,0.44732896342634504,0.8,49.74455586903827,11,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT037,Standard,311.31,1,7,58395.0,66867.04,11661.71,192.37285714285716,56880.12,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.23325104257544405,0.26441790453280234,0.8303209713926334,0.5751737925394157,0.23529411764705882,0.6115615805407218,0.8,49.56046514226471,12,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT025,Premium,447.19,1,10,10280.0,53608.71,11146.739,131.615,40864.74,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.18690737694984688,0.18981833958024846,0.7905291394673428,0.8838656913081012,0.411764705882353,0.3986543903144137,0.8,49.21774070142612,13,Medium,Prioritize the nearest warehouse and optimize transportation routes.
CLIENT081,Standard,491.15,1,7,64357.0,41395.28,10236.281428571428,241.33857142857144,33422.24,0,Distant customers / long flows,"Prioritize assignment to the nearest warehouse and investigate alternative routes to reduce distance, transit time and CO2 emissions.",0.14421609410640904,0.1551512094741016,0.7201780426921961,0.9837339270298514,0.23529411764705882,0.7831468394066402,0.8,48.440641238092205,14,Medium,Prioritize the nearest warehouse and optimize transportation routes.
