origin_city_id,destination_city_id,shipment_count,avg_distance_km,avg_transport_cost_eur,total_weight_tons,origin_city_name,destination_city_name
10,12,38,13039.426842105264,6268.32052631579,151.434,Dubai,Montreal
9,12,29,14101.564827586208,11308.64448275862,195.851,Shanghai,Montreal
7,12,28,7492.6325,5307.236071428571,113.764,Barcelona,Montreal
2,12,24,6983.743333333333,2451.1133333333332,81.481,Paris,Montreal
1,9,23,11573.845652173914,5270.287826086957,117.351,Lyon,Shanghai
7,5,23,744.984347826087,773.8404347826087,84.888,Barcelona,Hamburg
2,5,22,675.4559090909091,190.24681818181818,77.327,Paris,Hamburg
2,8,22,11087.085909090909,3162.3122727272726,51.264,Paris,Singapore
9,2,21,11476.81380952381,4212.663333333333,83.348,Shanghai,Paris
5,5,20,0.0,0.0,122.315,Hamburg,Hamburg
5,8,20,9631.6235,2497.9985,40.437,Hamburg,Singapore
7,8,20,11820.123,3750.522,49.559,Barcelona,Singapore
1,4,19,36.449473684210524,12.121578947368421,71.875,Lyon,Rotterdam
7,7,19,0.0,0.0,60.404,Barcelona,Barcelona
2,7,18,26.16111111111111,7.121666666666667,55.178,Paris,Barcelona
1,5,18,471.4161111111111,304.3638888888889,93.295,Lyon,Hamburg
9,9,17,0.0,0.0,55.353,Shanghai,Shanghai
9,10,16,8112.051875,16858.14625,120.024,Shanghai,Dubai
10,4,16,5345.27125,3529.9725,48.936,Dubai,Rotterdam
9,5,16,10349.99625,12523.67625,67.736,Shanghai,Hamburg
7,2,16,25.74375,6.284375,42.148,Barcelona,Paris
1,12,16,7389.328125,4545.028125,66.591,Lyon,Montreal
10,8,16,6516.454375,2352.676875,57.815,Dubai,Singapore
1,10,16,5619.914375,4981.155,44.34,Lyon,Dubai
2,2,15,0.0,0.0,43.102,Paris,Paris
9,7,15,12358.492666666667,2230.214,16.186,Shanghai,Barcelona
9,4,15,10938.088666666667,4275.445333333333,73.136,Shanghai,Rotterdam
2,10,15,5751.876,2875.2806666666665,57.625,Paris,Dubai
5,4,14,475.9585714285714,163.43428571428572,57.533,Hamburg,Rotterdam
1,2,14,235.34071428571428,280.26642857142855,30.119,Lyon,Paris
10,5,14,4687.744285714286,534.8257142857143,19.093,Dubai,Hamburg
2,4,14,190.04,81.67857142857143,35.446,Paris,Rotterdam
5,12,14,7311.6621428571425,2056.062142857143,43.825,Hamburg,Montreal
2,6,14,651.8792857142857,78.20857142857143,27.485,Paris,Milan
5,3,13,433.04,93.74307692307693,33.29,Hamburg,Marseille
1,8,13,10803.8,4975.07,70.741,Lyon,Singapore
9,8,13,2257.2792307692307,1827.0115384615385,106.085,Shanghai,Singapore
7,6,13,718.8830769230769,188.97538461538463,42.755,Barcelona,Milan
7,4,13,232.85153846153847,167.16307692307691,51.505,Barcelona,Rotterdam
10,3,12,5763.819166666667,495.43666666666667,16.182,Dubai,Marseille
1,6,12,426.07166666666666,145.68333333333334,9.965,Lyon,Milan
10,10,12,0.0,0.0,32.306,Dubai,Dubai
10,7,12,6079.189166666667,3525.1483333333335,20.31,Dubai,Barcelona
7,9,12,12211.455833333333,7650.47,70.889,Barcelona,Shanghai
7,3,12,338.45166666666665,87.07166666666667,40.411,Barcelona,Marseille
1,3,11,53.915454545454544,16.78181818181818,58.783,Lyon,Marseille
10,9,11,8350.753636363637,3580.1554545454546,62.82,Dubai,Shanghai
2,9,11,11383.318181818182,8275.497272727273,67.838,Paris,Shanghai
5,10,11,4671.759090909091,3396.677272727273,17.425,Hamburg,Dubai
5,11,10,7571.993,2520.566,33.953,Hamburg,New York
10,1,10,5489.409,2016.923,43.657,Dubai,Lyon
1,7,10,277.504,60.256,34.085,Lyon,Barcelona
10,2,10,5516.979,6522.071,52.785,Dubai,Paris
9,3,10,12173.047,29906.944,52.91,Shanghai,Marseille
10,11,10,13532.847,1946.634,16.921,Dubai,New York
7,10,10,6134.706,4192.468,94.69,Barcelona,Dubai
2,3,9,303.0388888888889,101.37333333333333,40.893,Paris,Marseille
7,11,9,7843.351111111111,13946.50888888889,61.497,Barcelona,New York
9,6,9,11326.488888888889,33495.33555555555,55.26,Shanghai,Milan
5,9,9,10303.864444444445,4927.177777777778,39.005,Hamburg,Shanghai
5,7,9,738.1855555555555,131.88888888888889,16.641,Hamburg,Barcelona
5,2,8,662.51375,239.84375,23.71,Hamburg,Paris
5,1,7,458.54,150.01714285714286,19.06,Hamburg,Lyon
7,1,7,264.6242857142857,26.02285714285714,8.52,Barcelona,Lyon
10,6,7,5349.725714285714,1375.2542857142857,9.665,Dubai,Milan
1,1,7,0.0,0.0,26.617,Lyon,Lyon
5,6,7,76.1,17.53,4.563,Hamburg,Milan
2,1,6,242.05333333333334,56.365,18.598,Paris,Lyon
9,1,6,11843.686666666666,42023.15,65.912,Shanghai,Lyon
2,11,5,7324.49,11235.946,18.616,Paris,New York
9,11,5,14871.034,355.938,1.409,Shanghai,New York
1,11,2,7814.63,1331.945,3.43,Lyon,New York
